ID,Category,Issue,Symptoms,Solution Steps,Severity,Estimated Resolution Time,Common Causes,Keywords,Urdu Solution,Documentation Link
11,Cloud Computing,AWS instance not starting - Variant 18,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",High,26 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
12,Cloud Computing,AWS instance not starting - Variant 15,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Medium,39 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
13,Cloud Computing,AWS instance not starting - Variant 24,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",High,28 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
14,Cloud Computing,AWS instance not starting - Variant 29,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Medium,37 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
15,Cloud Computing,AWS instance not starting - Variant 15,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Low,25 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
16,Cloud Computing,AWS instance not starting - Variant 22,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",High,27 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
17,Cloud Computing,AWS instance not starting - Variant 14,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Medium,19 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
18,Cloud Computing,AWS instance not starting - Variant 15,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Low,28 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
19,Cloud Computing,AWS instance not starting - Variant 43,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Low,33 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
20,Cloud Computing,AWS instance not starting - Variant 14,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",High,44 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
21,Cloud Computing,AWS instance not starting - Variant 34,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",High,2 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
22,Cloud Computing,AWS instance not starting - Variant 4,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",High,27 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
23,Cloud Computing,AWS instance not starting - Variant 37,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Medium,35 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
24,Cloud Computing,AWS instance not starting - Variant 2,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Low,27 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
25,Cloud Computing,AWS instance not starting - Variant 16,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Low,31 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
26,Cloud Computing,AWS instance not starting - Variant 38,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",High,25 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
27,Cloud Computing,AWS instance not starting - Variant 5,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Low,39 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
28,Cloud Computing,AWS instance not starting - Variant 12,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",High,17 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
29,Cloud Computing,AWS instance not starting - Variant 40,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Low,43 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
30,Cloud Computing,AWS instance not starting - Variant 43,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",High,15 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
31,Cloud Computing,AWS instance not starting - Variant 19,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",High,32 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
32,Cloud Computing,AWS instance not starting - Variant 6,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Low,6 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
33,Cloud Computing,AWS instance not starting - Variant 4,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Low,16 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
34,Cloud Computing,AWS instance not starting - Variant 13,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Medium,40 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
35,Cloud Computing,AWS instance not starting - Variant 10,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",High,41 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
36,Cloud Computing,AWS instance not starting - Variant 43,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",High,2 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
37,Cloud Computing,AWS instance not starting - Variant 33,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",High,28 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
38,Cloud Computing,AWS instance not starting - Variant 36,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",High,32 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
39,Cloud Computing,AWS instance not starting - Variant 29,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Medium,4 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
40,Cloud Computing,AWS instance not starting - Variant 1,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Low,9 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
41,Cloud Computing,AWS instance not starting - Variant 21,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Low,48 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
42,Cloud Computing,AWS instance not starting - Variant 34,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Low,27 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
43,Cloud Computing,AWS instance not starting - Variant 44,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",High,13 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
44,Cloud Computing,AWS instance not starting - Variant 35,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",High,1 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
45,Cloud Computing,AWS instance not starting - Variant 13,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Low,17 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
46,Cloud Computing,AWS instance not starting - Variant 28,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Medium,20 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
47,Cloud Computing,AWS instance not starting - Variant 45,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Medium,1 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
48,Cloud Computing,AWS instance not starting - Variant 14,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Low,22 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
49,Cloud Computing,AWS instance not starting - Variant 40,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Medium,39 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
50,Cloud Computing,AWS instance not starting - Variant 23,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Low,1 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
51,Cloud Computing,AWS instance not starting - Variant 48,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Low,25 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
52,Cloud Computing,AWS instance not starting - Variant 14,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Low,39 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
53,Cloud Computing,AWS instance not starting - Variant 30,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",High,33 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
54,Cloud Computing,AWS instance not starting - Variant 43,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",High,30 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
55,Cloud Computing,AWS instance not starting - Variant 8,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Low,32 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
56,Cloud Computing,AWS instance not starting - Variant 8,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Medium,8 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
57,Cloud Computing,AWS instance not starting - Variant 47,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Medium,11 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
58,Cloud Computing,AWS instance not starting - Variant 48,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",High,39 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
59,Cloud Computing,AWS instance not starting - Variant 23,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Medium,27 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
60,Cloud Computing,AWS instance not starting - Variant 30,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",High,48 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
61,Cloud Computing,AWS instance not starting - Variant 15,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",High,41 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
62,Cloud Computing,AWS instance not starting - Variant 20,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Medium,44 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
63,Cloud Computing,AWS instance not starting - Variant 48,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",High,34 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
64,Cloud Computing,AWS instance not starting - Variant 35,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Low,47 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
65,Cloud Computing,AWS instance not starting - Variant 29,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Low,32 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
66,Cloud Computing,AWS instance not starting - Variant 31,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",High,40 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
67,Cloud Computing,AWS instance not starting - Variant 35,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Low,33 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
68,Cloud Computing,AWS instance not starting - Variant 15,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Medium,14 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
69,Cloud Computing,AWS instance not starting - Variant 5,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",High,10 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
70,Cloud Computing,AWS instance not starting - Variant 1,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",High,28 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
71,Cloud Computing,AWS instance not starting - Variant 40,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Medium,15 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
72,Cloud Computing,AWS instance not starting - Variant 15,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Low,30 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
73,Cloud Computing,AWS instance not starting - Variant 13,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",High,15 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
74,Cloud Computing,AWS instance not starting - Variant 30,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Low,36 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
75,Cloud Computing,AWS instance not starting - Variant 44,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Low,48 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
76,Cloud Computing,AWS instance not starting - Variant 1,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Low,7 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
77,Cloud Computing,AWS instance not starting - Variant 31,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",High,22 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
